,epoch,iteration,state,direction,action,loss
0,80,0,034,2,al,0.10258568213066305
1,80,1,103,1,al,0.18034741872807455
2,80,2,410,0,al,0.033605698530017034
3,80,3,341,3,ar,0.10372889203713571
4,80,4,430,0,af,0.044313420324223494
5,80,5,420,0,al,0.02634440733346291
6,80,6,242,3,ar,0.09614747545035711
7,80,7,420,0,af,0.024800837246164813
8,80,8,410,0,al,0.033854166666666664
9,80,9,341,3,ar,0.09980770689094177
10,80,10,430,0,al,0.02244469535977521
11,80,11,143,3,ar,0.10844767616370365
12,80,12,410,0,al,0.033854166666666664
13,80,13,341,3,ar,0.09668023761179985
14,80,14,430,0,af,0.04010431200632588
15,80,15,420,0,al,0.027109700541880586
16,80,16,242,3,ar,0.08969446598297189
17,80,17,420,0,al,0.027330984989775597
18,80,18,242,3,ar,0.08832727036106502
19,80,19,420,0,al,0.027549788547919504
20,80,20,242,3,ar,0.08697395029520534
21,80,21,420,0,al,0.02774723636033879
22,80,22,242,3,ar,0.08563705569817655
23,80,23,420,0,al,0.02795726400202907
24,80,24,242,3,ar,0.08431648220290432
25,80,25,420,0,al,0.02817995570101853
26,80,26,242,3,ar,0.08301212789513598
27,80,27,420,0,al,0.028415398069435677
28,80,28,242,3,ar,0.08172389329950022
29,80,29,420,0,al,0.028663680126478946
30,80,30,242,3,al,0.013115451210140239
31,80,31,024,2,al,0.11197665391917372
32,80,32,202,1,ar,0.006830962253008
33,80,33,024,2,al,0.10955202406748527
34,80,34,202,1,al,0.0361604886952588
35,80,35,420,0,al,0.029382692333952003
36,80,36,242,3,ar,0.07674370691805299
37,80,37,420,0,al,0.02967706196122684
38,80,38,242,3,ar,0.07554006242038468
39,80,39,420,0,al,0.02998458918093662
40,80,40,242,3,ar,0.07435186913899346
41,80,41,420,0,af,0.02218263689782499
42,80,42,410,0,al,0.033854166666666664
43,80,43,341,3,ar,0.07802245124795516
44,80,44,430,0,af,0.031056560549266615
45,80,45,420,0,al,0.030607760893756178
46,80,46,242,3,ar,0.07216656473920229
47,80,47,420,0,al,0.03095457734822409
48,80,48,242,3,ar,0.07102103828150876
49,80,49,420,0,al,0.03125
50,80,50,242,3,ar,0.06989278606680675
51,80,51,420,0,al,0.03125
52,80,52,242,3,ar,0.06879127142732167
53,80,53,420,0,al,0.03125
54,80,54,242,3,ar,0.06771587698889096
55,80,55,420,0,al,0.03125
56,80,56,242,3,ar,0.06666599966303281
57,80,57,420,0,al,0.03125
58,80,58,242,3,af,0.0330122106045476
59,80,59,232,3,ar,0.03660743347940762
60,80,60,321,0,al,0.01700801460396324
61,80,61,232,3,af,0.021047324047079114
62,80,62,222,3,af,0.013073289308109602
63,80,63,212,3,al,0.021275762730131903
64,80,64,321,2,al,0.017054352294236796
65,80,65,232,1,ar,0.03580205686555885
66,80,66,321,2,al,0.01708756164598334
67,80,67,232,1,al,0.010620611808261576
68,80,68,123,0,al,0.03862788316583938
69,80,69,212,3,al,0.020675634462809313
70,80,70,321,2,al,0.017168077962378354
71,80,71,232,1,ar,0.034851508576129196
72,80,72,321,2,al,0.017213506262397996
73,80,73,232,1,al,0.01018248268526787
74,80,74,123,0,af,0.021955342256366254
75,80,75,113,0,al,0.06447025583640868
76,80,76,311,3,al,0.024739583333333332
77,80,77,331,2,ar,0.03110768464400326
78,80,78,331,3,al,0.013230123367039713
79,80,79,133,2,al,0.016471960716259584
80,80,80,113,1,al,0.06266049565622847
81,80,81,311,0,al,0.024739583333333332
82,80,82,331,3,af,0.023811299710554335
83,80,83,321,3,al,0.017625925669120305
84,80,84,232,2,al,0.009279341474291452
85,80,85,123,1,al,0.034127430740915156
86,80,86,212,0,al,0.019065429027343393
87,80,87,321,3,al,0.017770419648373455
88,80,88,232,2,ar,0.03196335647580078
89,80,89,321,3,al,0.017856201807432904
90,80,90,232,2,ar,0.03168423593564934
91,80,91,321,3,af,0.013038109894464354
92,80,92,311,3,al,0.024739583333333332
93,80,93,331,2,al,0.013038684591382244
94,80,94,133,1,ar,0.045553888481825934
95,80,95,311,2,al,0.024739583333333332
96,80,96,331,1,al,0.013025553271244621
97,80,97,133,0,al,0.013881308510393176
98,80,98,113,3,al,0.058159211185265514
99,80,99,311,2,al,0.024739583333333332
