,epoch,iteration,state,direction,action,loss
0,36,0,232,2,ar,0.06234367330904946
1,36,1,321,3,al,0.023113726094263973
2,36,2,232,2,ar,0.06127023219794367
3,36,3,321,3,al,0.022640837474544134
4,36,4,232,2,ar,0.060233117410281645
5,36,5,321,3,al,0.022196410874992162
6,36,6,232,2,ar,0.059230976455421226
7,36,7,321,3,al,0.021779043395771528
8,36,8,232,2,ar,0.05826251111558811
9,36,9,321,3,al,0.021387396851344043
10,36,10,232,2,ar,0.057326475147064015
11,36,11,321,3,al,0.021020194849303325
12,36,12,232,2,ar,0.05642167208336455
13,36,13,321,3,al,0.020676220001669254
14,36,14,232,2,ar,0.05554695313563107
15,36,15,321,3,al,0.020354311262460272
16,36,16,232,2,ar,0.054701215185705886
17,36,17,321,3,al,0.020053361385667684
18,36,18,232,2,ar,0.0538833988675842
19,36,19,321,3,al,0.01977231449804394
20,36,20,232,2,ar,0.053092486733150514
21,36,21,321,3,al,0.01951016378139094
22,36,22,232,2,ar,0.05232750149831256
23,36,23,321,3,ar,0.019265949259293636
24,36,24,232,0,ar,0.051587504365833
25,36,25,321,1,al,0.019038755683489176
26,36,26,232,0,ar,0.05087159342134565
27,36,27,321,1,al,0.018827710515294423
28,36,28,232,0,ar,0.050178902099210165
29,36,29,321,1,al,0.018631981997734925
30,36,30,232,0,ar,0.04950859771502395
31,36,31,321,1,al,0.01845077731422706
32,36,32,232,0,ar,0.048859880061764005
33,36,33,321,1,al,0.01828334082986317
34,36,34,232,0,ar,0.04823198006667598
35,36,35,321,1,al,0.018128952411537492
36,36,36,232,0,ar,0.04762415850616644
37,36,37,321,1,al,0.01798692582332863
38,36,38,232,0,ar,0.04703570477608693
39,36,39,321,1,al,0.017856607193723718
40,36,40,232,0,ar,0.046465935714919
41,36,41,321,1,af,0.017187534403098132
42,36,42,311,1,al,0.023583454999553357
43,36,43,331,0,al,0.017657342901452707
44,36,44,133,3,al,0.02983497320739967
45,36,45,113,2,al,0.08237645848372445
46,36,46,311,1,al,0.023714345453767337
47,36,47,331,0,al,0.016990819642831587
48,36,48,133,3,af,0.03218564345438675
49,36,49,123,3,al,0.05007811159895806
50,36,50,212,2,al,0.025988455020849188
51,36,51,321,1,al,0.01724933374867761
52,36,52,232,0,ar,0.04299068760700173
53,36,53,321,1,al,0.017189707644792055
54,36,54,232,0,af,0.025786439993142774
55,36,55,222,0,af,0.016524419324843487
56,36,56,212,0,al,0.02502770835889409
57,36,57,321,3,al,0.01709919727128949
58,36,58,232,2,ar,0.04177340479180891
59,36,59,321,3,al,0.01705881634356474
60,36,60,232,2,ar,0.041366227764998424
61,36,61,321,3,al,0.017024521177133937
62,36,62,232,2,ar,0.04097147124577787
63,36,63,321,3,al,0.01699595888235362
64,36,64,232,2,ar,0.04058871598340579
65,36,65,321,3,al,0.016972793772255617
66,36,66,232,2,ar,0.04021755834043131
67,36,67,321,3,al,0.016954706576091164
68,36,68,232,2,ar,0.03985760966861763
69,36,69,321,3,al,0.016941393687956417
70,36,70,232,2,ar,0.03950849571100601
71,36,71,321,3,al,0.016932566448939593
72,36,72,232,2,al,0.01243500189394989
73,36,73,123,1,al,0.043100936376023004
74,36,74,212,0,al,0.02252085411881151
75,36,75,321,3,al,0.016927725885307998
76,36,76,232,2,ar,0.03839770331558142
77,36,77,321,3,al,0.016931760244472207
78,36,78,232,2,ar,0.03807886695956517
79,36,79,321,3,al,0.016939533019287824
80,36,80,232,2,ar,0.03776144121511378
81,36,81,321,3,al,0.016951083552503285
82,36,82,232,2,ar,0.03744544281093026
83,36,83,321,3,al,0.01696645159907262
84,36,84,232,2,ar,0.037130888686240406
85,36,85,321,3,al,0.016985677330285893
86,36,86,232,2,ar,0.0368177959929189
87,36,87,321,3,al,0.01700880133794458
88,36,88,232,2,ar,0.036506182097638604
89,36,89,321,3,al,0.017035864638582334
90,36,90,232,2,ar,0.036196064584043695
91,36,91,321,3,al,0.01706690867773181
92,36,92,232,2,af,0.02074172542691037
93,36,93,222,2,af,0.012656942814224803
94,36,94,212,2,al,0.020545710894912268
95,36,95,321,1,al,0.01712424306608339
96,36,96,232,0,ar,0.035409743744196004
97,36,97,321,1,al,0.017165770282549404
98,36,98,232,0,ar,0.035104987451198034
99,36,99,321,1,al,0.017211432353075744
