,epoch,iteration,state,direction,action,loss
0,99,0,143,0,ar,0.11923680035415046
1,99,1,410,1,al,0.033444717549551355
2,99,2,341,0,ar,0.10520063341301861
3,99,3,430,1,af,0.045090044930701866
4,99,4,420,1,al,0.026253754083475522
5,99,5,242,0,ar,0.09770435466759177
6,99,6,420,1,al,0.026354903349287598
7,99,7,242,0,ar,0.09626813471443947
8,99,8,420,1,al,0.02647635580212934
9,99,9,242,0,ar,0.09484400528262511
10,99,10,420,1,al,0.02661841275952932
11,99,11,242,0,ar,0.09343197062538862
12,99,12,420,1,al,0.026781382119770897
13,99,13,242,0,ar,0.09203203770871675
14,99,14,420,1,al,0.026965578477095933
15,99,15,242,0,ar,0.09064421623847514
16,99,16,420,1,al,0.02717132323935431
17,99,17,242,0,ar,0.08926851868843581
18,99,18,420,1,al,0.02738412141317824
19,99,19,242,0,ar,0.08790607557550112
20,99,20,420,1,al,0.027570024550888514
21,99,21,242,0,af,0.04714608671377187
22,99,22,232,0,ar,0.05093749087429741
23,99,23,321,1,al,0.018883381798976393
24,99,24,232,0,ar,0.050240794853934366
25,99,25,321,1,al,0.018683803446706147
26,99,26,232,0,ar,0.0495666461916535
27,99,27,321,1,al,0.01849893220541542
28,99,28,232,0,ar,0.04891423795825123
29,99,29,321,1,al,0.01832800401103882
30,99,30,232,0,ar,0.04828279465028456
31,99,31,321,1,al,0.018170290683359593
32,99,32,232,0,ar,0.047671570891978786
33,99,33,321,1,al,0.018025098304096248
34,99,34,232,0,ar,0.04707985019312211
35,99,35,321,1,ar,0.017891765667624206
36,99,36,232,2,al,0.016474285819342044
37,99,37,123,1,al,0.05357642024302434
38,99,38,212,0,al,0.02796458438793134
39,99,39,321,3,al,0.017640685601209807
40,99,40,232,2,ar,0.04527816575362822
41,99,41,321,3,al,0.017540995860644604
42,99,42,232,2,al,0.01547250296050835
43,99,43,123,1,al,0.051168893907311386
44,99,44,212,0,al,0.026649927346238427
45,99,45,321,3,al,0.01735534646673102
46,99,46,232,2,ar,0.043642752201831614
47,99,47,321,3,al,0.01728393009182711
48,99,48,232,2,ar,0.0431769073952997
49,99,49,321,3,al,0.01722035277310092
50,99,50,232,2,al,0.014333828031488069
51,99,51,123,1,al,0.048321603458507396
52,99,52,212,0,al,0.025153675354681434
53,99,53,321,3,al,0.01710564110514689
54,99,54,232,2,ar,0.041733775836139735
55,99,55,321,3,al,0.01706440327010581
56,99,56,232,2,af,0.024845064194632917
57,99,57,222,2,af,0.01589077912091094
58,99,58,212,2,al,0.02428544717687779
59,99,59,321,1,al,0.017004724163527187
60,99,60,232,0,al,0.013193723162512412
61,99,61,123,3,al,0.04532512116204331
62,99,62,212,2,al,0.02365517123898253
63,99,63,321,1,af,0.014741562351763918
64,99,64,311,1,al,0.024286518411671884
65,99,65,331,0,al,0.01489778888575905
66,99,66,133,3,al,0.02284603917476649
67,99,67,113,2,al,0.07259419550470639
68,99,68,311,1,al,0.024480717714703143
69,99,69,331,0,al,0.014528263085979792
70,99,70,133,3,al,0.021653559403666547
71,99,71,113,2,al,0.07072036585597695
72,99,72,311,1,al,0.0246891240773856
73,99,73,331,0,al,0.01420676511469248
74,99,74,133,3,al,0.020523960109588856
75,99,75,113,2,al,0.06891759732968768
76,99,76,311,1,al,0.024739583333333332
77,99,77,331,0,al,0.01393195070177671
78,99,78,133,3,al,0.019459556311490652
79,99,79,113,2,al,0.0671920259786889
80,99,80,311,1,al,0.024739583333333332
81,99,81,331,0,al,0.013700591988611966
82,99,82,133,3,al,0.018458180954686442
83,99,83,113,2,al,0.06554261267035351
84,99,84,311,1,al,0.024739583333333332
85,99,85,331,0,al,0.013509040337255999
86,99,86,133,3,al,0.017516079337160182
87,99,87,113,2,al,0.06396556789697162
88,99,88,311,1,al,0.024739583333333332
89,99,89,331,0,al,0.01335390300721509
90,99,90,133,3,al,0.01662972275286135
91,99,91,113,2,al,0.062457306778695675
92,99,92,311,1,al,0.024739583333333332
93,99,93,331,0,af,0.024444192861798622
94,99,94,321,0,al,0.01747261908878464
95,99,95,232,3,af,0.01861523438162373
96,99,96,222,3,af,0.010882873979037982
97,99,97,212,3,al,0.01922881737164578
98,99,98,321,2,al,0.017568007381308818
99,99,99,232,1,ar,0.032580686336452114
