,epoch,iteration,state,direction,action,loss
0,18,0,331,1,al,0.02840599446020146
1,18,1,133,0,al,0.04791615954882001
2,18,2,113,3,al,0.10603260478870465
3,18,3,311,2,al,0.024437531566402066
4,18,4,331,1,al,0.02672677188502608
5,18,5,133,0,al,0.045243891739423614
6,18,6,113,3,al,0.10256169183132331
7,18,7,311,2,al,0.02408900831522384
8,18,8,331,1,al,0.025210312498617698
9,18,9,133,0,al,0.04275222086368926
10,18,10,113,3,al,0.09928745795828949
11,18,11,311,2,al,0.023825131950163617
12,18,12,331,1,al,0.02384211934932079
13,18,13,133,0,al,0.040428026740948295
14,18,14,113,3,al,0.0961972132225225
15,18,15,311,2,al,0.023636410344952726
16,18,16,331,1,al,0.0226089337907309
17,18,17,133,0,al,0.03825919113443889
18,18,18,113,3,al,0.09327916554663766
19,18,19,311,2,al,0.023514234681576953
20,18,20,331,1,al,0.021498631100167972
21,18,21,133,0,al,0.036234517883488526
22,18,22,113,3,al,0.09052235222548623
23,18,23,311,2,al,0.023450802415584737
24,18,24,331,1,al,0.02050012498443014
25,18,25,133,0,al,0.0343436597000032
26,18,26,113,3,al,0.0879165770141175
27,18,27,311,2,al,0.023439046866088484
28,18,28,331,1,al,0.019598351182647206
29,18,29,133,0,al,0.03256930643652643
30,18,30,113,3,al,0.08544109037630077
31,18,31,311,2,al,0.023472908430816345
32,18,32,331,1,ar,0.045343684458072485
33,18,33,331,2,ar,0.044824630515783365
34,18,34,331,3,al,0.01825312847247056
35,18,35,133,2,al,0.02995853386730929
36,18,36,113,1,al,0.0818024546662358
37,18,37,311,0,al,0.023622177977991862
38,18,38,331,3,al,0.017543547424317466
39,18,39,133,2,al,0.02840142320767851
40,18,40,113,1,al,0.07955383936501252
41,18,41,311,0,al,0.02376328553614519
42,18,42,331,3,al,0.01689947903016667
43,18,43,133,2,al,0.02692202165512958
44,18,44,113,1,al,0.07738786128641659
45,18,45,311,0,al,0.02394002533702724
46,18,46,331,3,al,0.016317326056752537
47,18,47,133,2,al,0.025516751691692683
48,18,48,113,1,al,0.0753012641008388
49,18,49,311,0,al,0.0241403599864177
50,18,50,331,3,al,0.015793900303037612
51,18,51,133,2,al,0.024182680543419186
52,18,52,113,1,al,0.07329168279977702
53,18,53,311,0,al,0.024324064147673474
54,18,54,331,3,af,0.031372410872371845
55,18,55,321,3,af,0.014896590386228913
56,18,56,311,3,al,0.024390608386919126
57,18,57,331,2,al,0.015162972639736242
58,18,58,133,1,al,0.02251470125183022
59,18,59,113,0,al,0.0707521151845499
60,18,60,311,3,al,0.024595230172731603
61,18,61,331,2,al,0.014767489718739
62,18,62,133,1,al,0.021338092045831498
63,18,63,113,0,al,0.06891691669265525
64,18,64,311,3,al,0.024739583333333332
65,18,65,331,2,ar,0.0354481550167579
66,18,66,331,3,ar,0.035177823418523164
67,18,67,331,0,al,0.014243068336615145
68,18,68,133,3,al,0.019701340619106448
69,18,69,113,2,al,0.06635996254933467
70,18,70,311,1,ar,0.024739583333333332
71,18,71,133,2,al,0.018575416779036538
72,18,72,113,1,al,0.06451424117790354
73,18,73,311,0,al,0.024739583333333332
74,18,74,331,3,al,0.013702344485926748
75,18,75,133,2,al,0.01762809635688568
76,18,76,113,1,al,0.06295053452607806
77,18,77,311,0,al,0.024739583333333332
78,18,78,331,3,al,0.013515460954314808
79,18,79,133,2,al,0.01673670792388699
80,18,80,113,1,al,0.061455211942072874
81,18,81,311,0,al,0.024739583333333332
82,18,82,331,3,al,0.013363163491708858
83,18,83,133,2,al,0.015897931819140575
84,18,84,113,1,al,0.06002489723466095
85,18,85,311,0,al,0.024739583333333332
86,18,86,331,3,al,0.013242475832344669
87,18,87,133,2,al,0.015108647315180577
88,18,88,113,1,al,0.05865639517692306
89,18,89,311,0,al,0.024739583333333332
90,18,90,331,3,al,0.013150631676031024
91,18,91,133,2,al,0.014365920524273726
92,18,92,113,1,al,0.05734668116770971
93,18,93,311,0,al,0.024739583333333332
94,18,94,331,3,al,0.013085060937010678
95,18,95,133,2,al,0.013666993057415297
96,18,96,113,1,al,0.05609289151657171
97,18,97,311,0,al,0.024739583333333332
98,18,98,331,3,al,0.013043376872381997
99,18,99,133,2,ar,0.043357484861705986
