,epoch,iteration,state,direction,action,loss
0,8,0,341,3,ar,0.10686899122769082
1,8,1,430,0,al,0.02324100444490018
2,8,2,143,3,ar,0.11707607673982284
3,8,3,410,0,al,0.033627201563217815
4,8,4,341,3,ar,0.1033145140386581
5,8,5,430,0,af,0.043911080405450824
6,8,6,420,0,al,0.026386335541371583
7,8,7,242,3,ar,0.09602194695220216
8,8,8,420,0,al,0.026513572152540615
9,8,9,242,3,ar,0.09459810891815916
10,8,10,420,0,af,0.024370018443597024
11,8,11,410,0,al,0.033854166666666664
12,8,12,341,3,ar,0.09799292667185543
13,8,13,430,0,af,0.04069781648071985
14,8,14,420,0,al,0.026954332511044423
15,8,15,242,3,af,0.05043042095171469
16,8,16,232,3,ar,0.0541390642744576
17,8,17,321,0,al,0.01983579113136639
18,8,18,232,3,ar,0.053340024812305854
19,8,19,321,0,al,0.019568947747111206
20,8,20,232,3,ar,0.052567213362988495
21,8,21,321,0,al,0.01932030802646519
22,8,22,232,3,ar,0.0518196790729745
23,8,23,321,0,al,0.01908894343929121
24,8,24,232,3,ar,0.051096508482827395
25,8,25,321,0,al,0.01887396879099749
26,8,26,232,3,ar,0.05039682397042448
27,8,27,321,0,ar,0.018674540265649277
28,8,28,232,1,ar,0.04971978226187851
29,8,29,321,2,al,0.018489853556989087
30,8,30,232,1,ar,0.049064573007082994
31,8,31,321,2,al,0.018319142083350583
32,8,32,232,1,al,0.01760335148273814
33,8,33,123,0,al,0.05624371759036168
34,8,34,212,3,al,0.02935872354195113
35,8,35,321,2,al,0.017995926536871373
36,8,36,232,1,ar,0.0470822411139879
37,8,37,321,2,al,0.01786477172045228
38,8,38,232,1,ar,0.046510862571441734
39,8,39,321,2,al,0.017744755415986354
40,8,40,232,1,ar,0.04595757310896357
41,8,41,321,2,al,0.01763528135052587
42,8,42,232,1,ar,0.04542173863748705
43,8,43,321,2,ar,0.01753578155286974
44,8,44,232,3,ar,0.04490274938062009
45,8,45,321,0,al,0.017445715070666216
46,8,46,232,3,ar,0.04440001888210179
47,8,47,321,0,al,0.01736456674483947
48,8,48,232,3,ar,0.04391298305558839
49,8,49,321,0,al,0.017291846038761917
50,8,50,232,3,ar,0.043441099274891724
51,8,51,321,0,al,0.017227085919714172
52,8,52,232,3,ar,0.04298384550288343
53,8,53,321,0,al,0.017169841790286737
54,8,54,232,3,ar,0.04254071945735782
55,8,55,321,0,al,0.017119690467486553
56,8,56,232,3,ar,0.04211123781222742
57,8,57,321,0,al,0.017076229207413047
58,8,58,232,3,ar,0.04169493543249806
59,8,59,321,0,ar,0.017039074773466806
60,8,60,232,1,ar,0.04129136464154292
61,8,61,321,2,al,0.01700786254614651
62,8,62,232,1,ar,0.0409000945192615
63,8,63,321,2,al,0.016982245672578507
64,8,64,232,1,ar,0.04052071022977476
65,8,65,321,2,al,0.016961894254007744
66,8,66,232,1,ar,0.040152812377368514
67,8,67,321,2,al,0.01694649456955902
68,8,68,232,1,ar,0.03979601638945484
69,8,69,321,2,al,0.01693574833465424
70,8,70,232,1,ar,0.039449951925378715
71,8,71,321,2,al,0.0169293719925441
72,8,72,232,1,ar,0.039114262309948244
73,8,73,321,2,al,0.016927096037482367
74,8,74,232,1,ar,0.03878860399061681
75,8,75,321,2,al,0.01692866436813703
76,8,76,232,1,ar,0.038465044778475906
77,8,77,321,2,al,0.01693399750950236
78,8,78,232,1,ar,0.03814291148462561
79,8,79,321,2,al,0.016943134441271993
80,8,80,232,1,ar,0.03782222095205272
81,8,81,321,2,al,0.01695611518217285
82,8,82,232,1,ar,0.037502990236181956
83,8,83,321,2,al,0.01697298017057936
84,8,84,232,1,ar,0.03718523660702158
85,8,85,321,2,al,0.016993770268724912
86,8,86,232,1,af,0.021469273731876345
87,8,87,222,1,af,0.013334830268568366
88,8,88,212,1,al,0.02113388045155215
89,8,89,321,0,af,0.013676478860177088
90,8,90,311,0,al,0.024739583333333332
91,8,91,331,3,af,0.02670227867083398
92,8,92,321,3,al,0.017064540545274513
93,8,93,232,2,ar,0.036114442018662214
94,8,94,321,3,al,0.01709962499017414
95,8,95,232,2,ar,0.035802719873430144
96,8,96,321,3,al,0.017138838784502033
97,8,97,232,2,ar,0.03549258110006484
98,8,98,321,3,al,0.017182225353334767
99,8,99,232,2,ar,0.035184044489988846
