,epoch,iteration,state,direction,action,loss
0,64,0,341,2,ar,0.10686899122769082
1,64,1,430,3,af,0.04606492291260739
2,64,2,420,3,al,0.026171723634030874
3,64,3,242,2,ar,0.09933321605792993
4,64,4,420,3,al,0.02625272726384345
5,64,5,242,2,ar,0.09788117293130988
6,64,6,420,3,al,0.026353784055762528
7,64,7,242,2,ar,0.0964412557542987
8,64,8,420,3,al,0.02647518939358273
9,64,9,242,2,ar,0.0950134659745644
10,64,10,420,3,al,0.02661724514257023
11,64,11,242,2,ar,0.09359780773353854
12,64,12,420,3,al,0.026780259762492317
13,64,13,242,2,ar,0.09219428789269324
14,64,14,420,3,al,0.02696454842304774
15,64,15,242,2,ar,0.0908029160607025
16,64,16,420,3,al,0.027170433121749025
17,64,17,242,2,ar,0.08942370462149862
18,64,18,420,3,al,0.027377887065312648
19,64,19,242,2,ar,0.0880582041498852
20,64,20,420,3,al,0.027563539449560737
21,64,21,242,2,ar,0.08670919653220684
22,64,22,420,3,al,0.02776166902840992
23,64,23,242,2,ar,0.08537657538533794
24,64,24,420,3,al,0.027972357606792456
25,64,25,242,2,ar,0.08406023678515862
26,64,26,420,3,al,0.028195689346760425
27,64,27,242,2,ar,0.08276007925213191
28,64,28,420,3,al,0.02843175078984218
29,64,29,242,2,ar,0.08147600373747882
30,64,30,420,3,al,0.02868063087999691
31,64,31,242,2,ar,0.08020791360994513
32,64,32,420,3,al,0.028942420987173662
33,64,33,242,2,ar,0.07895571464315539
34,64,34,420,3,al,0.02921721493148292
35,64,35,242,2,ar,0.07771931500355093
36,64,36,420,3,al,0.029505109007987685
37,64,37,242,2,ar,0.07649862523890509
38,64,38,420,3,al,0.02980620201212193
39,64,39,242,2,af,0.03935480797450035
40,64,40,232,2,af,0.02628270082532258
41,64,41,222,2,af,0.01705460147112411
42,64,42,212,2,al,0.025850070863974967
43,64,43,321,1,al,0.017165084245013625
44,64,44,232,0,ar,0.04236829635727956
45,64,45,321,1,al,0.01711571024965499
46,64,46,232,0,ar,0.041942886568728154
47,64,47,321,1,al,0.017072947844465395
48,64,48,232,0,ar,0.041530518774164575
49,64,49,321,1,al,0.017036418381299698
50,64,50,232,0,ar,0.04113075042541287
51,64,51,321,1,al,0.017005761597395686
52,64,52,232,0,ar,0.04074315552384198
53,64,53,321,1,al,0.016980634775947457
54,64,54,232,0,ar,0.04036732395688814
55,64,55,321,1,al,0.01696071194412479
56,64,56,232,0,ar,0.04000286086243365
57,64,57,321,1,al,0.016945683106871706
58,64,58,232,0,ar,0.039649386019830514
59,64,59,321,1,al,0.016935253514892726
60,64,60,232,0,ar,0.03930653326641249
61,64,61,321,1,al,0.0169291429653072
62,64,62,232,0,ar,0.0389739499383901
63,64,63,321,1,al,0.016927085133520516
64,64,64,232,0,ar,0.03865129633507455
65,64,65,321,1,al,0.01692882693492651
66,64,66,232,0,ar,0.03833029346963776
67,64,67,321,1,al,0.016934303614053143
68,64,68,232,0,ar,0.03801069918867018
69,64,69,321,1,al,0.0169435544219642
70,64,70,232,0,ar,0.03769253020966198
71,64,71,321,1,al,0.016956619110615117
72,64,72,232,0,ar,0.03737580346087818
73,64,73,321,1,al,0.0169735378486792
74,64,74,232,0,ar,0.03706053608348808
75,64,75,321,1,ar,0.016994351225728607
76,64,76,232,2,ar,0.03674674543371761
77,64,77,321,3,al,0.01701910025646086
78,64,78,232,2,ar,0.03643444908502611
79,64,79,321,3,al,0.017047826384971442
80,64,80,232,2,ar,0.0361236648303072
81,64,81,321,3,al,0.01708057148907299
82,64,82,232,2,ar,0.03581441068411368
83,64,83,321,3,al,0.017117377884661705
84,64,84,232,2,af,0.020461254989909326
85,64,85,222,2,af,0.012500696595696763
86,64,86,212,2,al,0.020527326964684713
87,64,87,321,1,ar,0.01718341638450948
88,64,88,232,2,ar,0.03503442288289804
89,64,89,321,3,ar,0.017230866592430973
90,64,90,232,0,ar,0.03473062947723936
91,64,91,321,1,al,0.01728253494283179
92,64,92,232,0,ar,0.034428452489112304
93,64,93,321,1,al,0.017338465831402184
94,64,94,232,0,ar,0.03412791121905173
95,64,95,321,1,af,0.013227260113994192
96,64,96,311,1,al,0.024739583333333332
97,64,97,331,0,al,0.01322688775417978
98,64,98,133,3,al,0.016462793368283983
99,64,99,113,2,af,0.02432989052281985
