,epoch,iteration,state,direction,action,loss
0,1,0,341,3,ar,0.10686899122769082
1,1,1,430,0,af,0.04606492291260739
2,1,2,420,0,al,0.026171723634030874
3,1,3,242,3,al,0.02118189415011697
4,1,4,024,2,al,0.13694281058682695
5,1,5,202,1,al,0.046566335989315526
6,1,6,420,0,al,0.026336714299673752
7,1,7,242,3,ar,0.09632899205387231
8,1,8,420,0,al,0.026454558970936765
9,1,9,242,3,ar,0.09490732595551245
10,1,10,420,0,af,0.024506196525279248
11,1,11,410,0,al,0.033854166666666664
12,1,12,341,3,ar,0.09849179299503734
13,1,13,430,0,ar,0.04004816350139937
14,1,14,341,1,ar,0.09657643749972883
15,1,15,430,2,af,0.03996045834276832
16,1,16,420,2,ar,0.027143069846484163
17,1,17,242,3,ar,0.08974999422879863
18,1,18,420,0,al,0.027368343300769458
19,1,19,242,3,ar,0.08837830478577212
20,1,20,420,0,al,0.027564757037089462
21,1,21,242,3,ar,0.08702239824702472
22,1,22,420,0,al,0.02776350968274172
23,1,23,242,3,ar,0.08568296122257152
24,1,24,420,0,al,0.027974888068822645
25,1,25,242,3,ar,0.08435988919859212
26,1,26,420,0,al,0.02819897685892224
27,1,27,242,3,ar,0.08305308012171364
28,1,28,420,0,al,0.028435863110568744
29,1,29,242,3,ar,0.08176243438505289
30,1,30,420,0,al,0.02868563629832258
31,1,31,242,3,ar,0.08048785481485399
32,1,32,420,0,al,0.028948388337479578
33,1,33,242,3,ar,0.07922924665772019
34,1,34,420,0,al,0.02922421360839059
35,1,35,242,3,ar,0.07798651756843186
36,1,36,420,0,al,0.029513208981405525
37,1,37,242,3,ar,0.07675957759835005
38,1,38,420,0,al,0.029815473842449352
39,1,39,242,3,ar,0.07554833918439861
40,1,40,420,0,al,0.030131110119237747
41,1,41,242,3,ar,0.07435271713862295
42,1,42,420,0,al,0.030460222308141657
43,1,43,242,3,ar,0.07317262863832112
44,1,44,420,0,al,0.030802917501708566
45,1,45,242,3,ar,0.07200799321674403
46,1,46,420,0,al,0.031159305416849387
47,1,47,242,3,ar,0.07085873275436229
48,1,48,420,0,af,0.022135416666666668
49,1,49,410,0,al,0.033854166666666664
50,1,50,341,3,ar,0.07403218908718867
51,1,51,430,0,af,0.029384717336366092
52,1,52,420,0,al,0.03125
53,1,53,242,3,ar,0.06890996542950713
54,1,54,420,0,al,0.03125
55,1,55,242,3,ar,0.0678302276828674
56,1,56,420,0,al,0.03125
57,1,57,242,3,ar,0.06677613591523744
58,1,58,420,0,al,0.03125
59,1,59,242,3,ar,0.06574709753508413
60,1,60,420,0,al,0.03125
61,1,61,242,3,ar,0.06474253365183023
62,1,62,420,0,af,0.022135416666666668
63,1,63,410,0,al,0.033854166666666664
64,1,64,341,3,ar,0.06777905576445727
65,1,65,430,0,af,0.027479490455847123
66,1,66,420,0,al,0.03125
67,1,67,242,3,ar,0.06315855854402418
68,1,68,420,0,al,0.03125
69,1,69,242,3,ar,0.062214712583301766
70,1,70,420,0,al,0.03125
71,1,71,242,3,ar,0.061293389854537104
72,1,72,420,0,al,0.03125
73,1,73,242,3,ar,0.06039406957342965
74,1,74,420,0,al,0.03125
75,1,75,242,3,ar,0.05951624295747396
76,1,76,420,0,al,0.03125
77,1,77,242,3,ar,0.05865941294272292
78,1,78,420,0,al,0.03125
79,1,79,242,3,ar,0.05782309390764714
80,1,80,420,0,al,0.03125
81,1,81,242,3,ar,0.05700681140389302
82,1,82,420,0,al,0.03125
83,1,83,242,3,ar,0.056210101893748886
84,1,84,420,0,al,0.03125
85,1,85,242,3,ar,0.05543251249413491
86,1,86,420,0,al,0.03125
87,1,87,242,3,ar,0.054673600726937534
88,1,88,420,0,al,0.03125
89,1,89,242,3,ar,0.053932934275515564
90,1,90,420,0,af,0.022135416666666668
91,1,91,410,0,al,0.033854166666666664
92,1,92,341,3,ar,0.05686869246723933
93,1,93,430,0,af,0.026041666666666668
94,1,94,420,0,al,0.03125
95,1,95,242,3,ar,0.052967457316517454
96,1,96,420,0,al,0.03125
97,1,97,242,3,ar,0.0522669818302679
98,1,98,420,0,al,0.03125
99,1,99,242,3,ar,0.05158341558198984
