,epoch,iteration,state,direction,action,loss
0,15,0,143,1,ar,0.11923680035415046
1,15,1,410,2,al,0.033444717549551355
2,15,2,341,1,ar,0.10520063341301861
3,15,3,430,2,af,0.045090044930701866
4,15,4,420,2,al,0.026253754083475522
5,15,5,242,1,ar,0.09770435466759177
6,15,6,420,2,al,0.026354903349287598
7,15,7,242,1,ar,0.09626813471443947
8,15,8,420,2,al,0.02647635580212934
9,15,9,242,1,af,0.053077722867172356
10,15,10,232,1,ar,0.05673486647144548
11,15,11,321,2,al,0.020819273696865873
12,15,12,232,1,ar,0.05584867374711109
13,15,13,321,2,al,0.02048827758646805
14,15,14,232,1,af,0.03570328301530546
15,15,15,222,1,af,0.02425919367368687
16,15,16,212,1,al,0.03490059854777352
17,15,17,321,0,al,0.01993053234446696
18,15,18,232,3,ar,0.05347769086649425
19,15,19,321,0,al,0.019657838389977263
20,15,20,232,3,ar,0.05269914401958334
21,15,21,321,0,al,0.019403608563567352
22,15,22,232,3,ar,0.051946085159652634
23,15,23,321,0,al,0.01916690308965078
24,15,24,232,3,ar,0.05121759248776266
25,15,25,321,0,al,0.01894682601029164
26,15,26,232,3,ar,0.05051278038794163
27,15,27,321,0,al,0.018742523207435937
28,15,28,232,3,ar,0.049830797923242076
29,15,29,321,0,al,0.018553180513982404
30,15,30,232,3,ar,0.04917082739708981
31,15,31,321,0,al,0.018378021909633366
32,15,32,232,3,ar,0.0485320829769604
33,15,33,321,0,al,0.01821630779766024
34,15,34,232,3,ar,0.04791380937756545
35,15,35,321,0,al,0.01806733335890053
36,15,36,232,3,ar,0.04731528060086317
37,15,37,321,0,al,0.017930426979478713
38,15,38,232,3,ar,0.04673579873033593
39,15,39,321,0,al,0.01780494874890767
40,15,40,232,3,ar,0.04617469277710018
41,15,41,321,0,al,0.017690289025385136
42,15,42,232,3,ar,0.04563131757552738
43,15,43,321,0,al,0.017585867065248412
44,15,44,232,3,ar,0.04510505272616707
45,15,45,321,0,al,0.017491129713692422
46,15,46,232,3,ar,0.04459530158386127
47,15,47,321,0,al,0.01740555015399086
48,15,48,232,3,ar,0.04410149028904569
49,15,49,321,0,al,0.017328626712588453
50,15,50,232,3,ar,0.04362306684031936
51,15,51,321,0,al,0.017259881717553903
52,15,52,232,3,ar,0.0431595002064587
53,15,53,321,0,al,0.017198860407998905
54,15,54,232,3,ar,0.04271027947613323
55,15,55,321,0,al,0.01714512989217918
56,15,56,232,3,ar,0.04227491304366257
57,15,57,321,0,al,0.01709827815209782
58,15,58,232,3,ar,0.04185292782922969
59,15,59,321,0,al,0.017057913092531483
60,15,60,232,3,ar,0.0414438685320374
61,15,61,321,0,al,0.01702366163249475
62,15,62,232,3,ar,0.04104729691496745
63,15,63,321,0,al,0.016995168837248525
64,15,64,232,3,ar,0.040662791119362184
65,15,65,321,0,al,0.016972097089044423
66,15,66,232,3,ar,0.040289945008617135
67,15,67,321,0,al,0.01695412529487943
68,15,68,232,3,ar,0.039928367539326895
69,15,69,321,0,al,0.016940948129612877
70,15,70,232,3,ar,0.0395776821587888
71,15,71,321,0,al,0.01693227531287274
72,15,72,232,3,ar,0.039237526227718214
73,15,73,321,0,al,0.016927830918248992
74,15,74,232,3,af,0.022999609680439806
75,15,75,222,3,af,0.014475358387798945
76,15,76,212,3,al,0.02244781506553202
77,15,77,321,2,al,0.01692967626290841
78,15,78,232,1,ar,0.03833123194525103
79,15,79,321,2,al,0.01693597024062878
80,15,80,232,1,ar,0.03801045943801379
81,15,81,321,2,al,0.016946064465558398
82,15,82,232,1,ar,0.03769112786954643
83,15,83,321,2,al,0.016959998914525137
84,15,84,232,1,ar,0.0373732542836912
85,15,85,321,2,al,0.016977813983372815
86,15,86,232,1,ar,0.03705685593852375
87,15,87,321,2,al,0.016999550491165548
88,15,88,232,1,ar,0.03674195030851861
89,15,89,321,2,al,0.01702524968443796
90,15,90,232,1,ar,0.0364285550867389
91,15,91,321,2,al,0.017054953241491665
92,15,92,232,1,ar,0.036116688187050154
93,15,93,321,2,al,0.017088703276738736
94,15,94,232,1,ar,0.035806367746358835
95,15,95,321,2,al,0.017126542345092564
96,15,96,232,1,ar,0.03549761212687547
97,15,97,321,2,al,0.01716851344640676
98,15,98,232,1,ar,0.035190439918403406
99,15,99,321,2,al,0.01721466002996267
