,epoch,iteration,state,direction,action,loss
0,79,0,123,0,al,0.0747220121965312
1,79,1,212,3,al,0.04136939533565293
2,79,2,321,2,al,0.02285192326415801
3,79,3,232,1,ar,0.060652161398964975
4,79,4,321,2,al,0.022394994833515678
5,79,5,232,1,ar,0.05963547416936953
6,79,6,321,2,al,0.02196572880210557
7,79,7,232,1,ar,0.05865300385704755
8,79,8,321,2,al,0.021562759487926842
9,79,9,232,1,ar,0.05770348252987432
10,79,10,321,2,al,0.02118478423348455
11,79,11,232,1,ar,0.056785692948956086
12,79,12,321,2,al,0.020830560561563446
13,79,13,232,1,ar,0.05589846642856109
14,79,14,321,2,ar,0.020498903459860413
15,79,15,232,3,ar,0.055040680790616525
16,79,16,321,0,al,0.020188682788471763
17,79,17,232,3,ar,0.05421125840937032
18,79,18,321,0,al,0.019898820804527737
19,79,19,232,3,ar,0.05340916434203711
20,79,20,321,0,al,0.019628289798546153
21,79,21,232,3,ar,0.05263340454145682
22,79,22,321,0,al,0.019376109837342385
23,79,23,232,3,ar,0.051883024146987755
24,79,24,321,0,al,0.019141346608584176
25,79,25,232,3,ar,0.051157105850044036
26,79,26,321,0,al,0.018923109362317107
27,79,27,232,3,ar,0.05045476833086193
28,79,28,321,0,al,0.018720548945012138
29,79,29,232,3,ar,0.04977516476324564
30,79,30,321,0,al,0.018532855921899974
31,79,31,232,3,ar,0.04911748138420122
32,79,32,321,0,al,0.018359258783559686
33,79,33,232,3,ar,0.04848093612551561
34,79,34,321,0,al,0.018199022232920952
35,79,35,232,3,ar,0.047864777304480514
36,79,36,321,0,al,0.01805144554902164
37,79,37,232,3,ar,0.04726828237109274
38,79,38,321,0,al,0.01791586102403513
39,79,39,232,3,ar,0.04669075670919207
40,79,40,321,0,al,0.017791632470246434
41,79,41,232,3,ar,0.046131532489116216
42,79,42,321,0,al,0.01767815379381171
43,79,43,232,3,ar,0.04558996756956798
44,79,44,321,0,al,0.017574847632284053
45,79,45,232,3,ar,0.04506544444649779
46,79,46,321,0,al,0.01748116405302941
47,79,47,232,3,ar,0.044557369246908264
48,79,48,321,0,al,0.017396579309789797
49,79,49,232,3,ar,0.04406517076558462
50,79,50,321,0,al,0.017320594654778712
51,79,51,232,3,ar,0.04358829954284824
52,79,52,321,0,al,0.01725273520381412
53,79,53,232,3,ar,0.04312622698151908
54,79,54,321,0,al,0.017192548852109968
55,79,55,232,3,ar,0.04267844450135614
56,79,56,321,0,af,0.015587524558063203
57,79,57,311,0,al,0.02397722352136686
58,79,58,331,3,al,0.01588251498168556
59,79,59,133,2,al,0.02566703023620259
60,79,60,113,1,al,0.07639163424948635
61,79,61,311,0,al,0.024143926551851547
62,79,62,331,3,al,0.015397003142292032
63,79,63,133,2,al,0.024326559503316483
64,79,64,113,1,al,0.07436119152861083
65,79,65,311,0,al,0.02432791044372142
66,79,66,331,3,al,0.014966778769820931
67,79,67,133,2,al,0.023056215513413317
68,79,68,113,1,al,0.07240840393115801
69,79,69,311,0,al,0.024527627024553782
70,79,70,331,3,al,0.014588417392880438
71,79,71,133,2,al,0.02185256709818122
72,79,72,113,1,al,0.0705300709148934
73,79,73,311,0,al,0.024739583333333332
74,79,74,331,3,al,0.01425869738519546
75,79,75,133,2,al,0.02071241566031536
76,79,76,113,1,al,0.0687232442299222
77,79,77,311,0,al,0.024739583333333332
78,79,78,331,3,al,0.013976802842854985
79,79,79,133,2,al,0.019639709546025237
80,79,80,113,1,al,0.06699674395422217
81,79,81,311,0,al,0.024739583333333332
82,79,82,331,3,al,0.01373878576738631
83,79,83,133,2,al,0.018630431294033047
84,79,84,113,1,al,0.06534655142762145
85,79,85,311,0,al,0.024739583333333332
86,79,86,331,3,al,0.013540973462336514
87,79,87,133,2,al,0.017680805403867936
88,79,88,113,1,al,0.06376886595680077
89,79,89,311,0,al,0.024739583333333332
90,79,90,331,3,al,0.013379950511972672
91,79,91,133,2,al,0.016787283520918413
92,79,92,113,1,al,0.06226009221802983
93,79,93,311,0,al,0.024739583333333332
94,79,94,331,3,al,0.013252541921200905
95,79,95,133,2,al,0.015946530553465198
96,79,96,113,1,al,0.060816828429752105
97,79,97,311,0,al,0.024739583333333332
98,79,98,331,3,al,0.013155797340467174
99,79,99,133,2,al,0.01515541166037155
