,epoch,iteration,state,direction,action,loss
0,52,0,034,1,al,0.10258568213066305
1,52,1,103,0,al,0.18034741872807455
2,52,2,410,3,al,0.033605698530017034
3,52,3,341,2,ar,0.10372889203713571
4,52,4,430,3,af,0.044313420324223494
5,52,5,420,3,al,0.02634440733346291
6,52,6,242,2,ar,0.09614747545035711
7,52,7,420,3,al,0.026463602317744084
8,52,8,242,2,ar,0.09472865285142629
9,52,9,420,3,al,0.02660327521385475
10,52,10,242,2,ar,0.09332185345451678
11,52,11,420,3,al,0.02676373192427271
12,52,12,242,2,af,0.05097204371678077
13,52,13,232,2,al,0.021379202018919945
14,52,14,123,1,al,0.06400093845439281
15,52,15,212,0,al,0.034359286439242694
16,52,16,321,3,al,0.019783292194107557
17,52,17,232,2,ar,0.0528594992220612
18,52,18,321,3,al,0.01952129666682532
19,52,19,232,2,ar,0.0520992854516217
20,52,20,321,3,al,0.01927716754422724
21,52,21,232,2,ar,0.051363903385062526
22,52,22,321,3,al,0.019049994197151497
23,52,23,232,2,ar,0.050652456848986005
24,52,24,321,3,al,0.01883890846266328
25,52,25,232,2,ar,0.049964084787931407
26,52,26,321,3,al,0.018643082728086482
27,52,27,232,2,ar,0.04929795980682981
28,52,28,321,3,al,0.01846172810101669
29,52,29,232,2,ar,0.04865328677663577
30,52,30,321,3,al,0.01829409266139365
31,52,31,232,2,af,0.030093410678581706
32,52,32,222,2,af,0.019840171910275622
33,52,33,212,2,al,0.029215547809906067
34,52,34,321,1,al,0.018019162986481593
35,52,35,232,0,ar,0.04693458793616345
36,52,36,321,1,al,0.01788669558458714
37,52,37,232,0,ar,0.04636545961746802
38,52,38,321,1,al,0.017765373588291316
39,52,39,232,0,ar,0.04581434812538385
40,52,40,321,1,al,0.01765460180514677
41,52,41,232,0,ar,0.04528062198154407
42,52,42,321,1,al,0.01755381325739062
43,52,43,232,0,ar,0.04476367391477468
44,52,44,321,1,al,0.017462467904077263
45,52,45,232,0,ar,0.04426291987318562
46,52,46,321,1,al,0.01738005142027306
47,52,47,232,0,ar,0.043777798078376916
48,52,48,321,1,ar,0.017306074030748436
49,52,49,232,2,ar,0.043307768119892044
50,52,50,321,3,al,0.01724006939572111
51,52,51,232,2,ar,0.042852310088142866
52,52,52,321,3,al,0.01718159354631715
53,52,53,232,2,ar,0.04241092374410771
54,52,54,321,3,af,0.015554659950014448
55,52,55,311,3,al,0.023991256740863342
56,52,56,331,2,al,0.01583446998827476
57,52,57,133,1,al,0.025290079868413914
58,52,58,113,0,al,0.07583479817294406
59,52,59,311,3,al,0.02415878297256174
60,52,60,331,2,al,0.015356057319146106
61,52,61,133,1,al,0.02396909466498924
62,52,62,113,0,al,0.07382579678079661
63,52,63,311,3,al,0.024343284443651223
64,52,64,331,2,al,0.014932224957099968
65,52,65,133,1,al,0.02271727996203357
66,52,66,113,0,al,0.0718935542471421
67,52,67,311,3,al,0.024543234575311268
68,52,68,331,2,al,0.01455959191046171
69,52,69,133,1,al,0.021531250949032892
70,52,70,113,0,al,0.07003490975092727
71,52,71,311,3,al,0.024739583333333332
72,52,72,331,2,af,0.02837950701800517
73,52,73,321,2,al,0.016948572145627387
74,52,74,232,1,ar,0.03722356008609463
75,52,75,321,2,al,0.016963040560182337
76,52,76,232,1,ar,0.03691448420900184
77,52,77,321,2,al,0.016981283460498407
78,52,78,232,1,ar,0.036606824051487935
79,52,79,321,2,ar,0.017003340673293586
80,52,80,232,3,ar,0.036300596615831515
81,52,81,321,0,al,0.01702925244182037
82,52,82,232,3,ar,0.03599581911672439
83,52,83,321,0,al,0.017059059430047072
84,52,84,232,3,ar,0.0356925089834236
85,52,85,321,0,al,0.017092802726884567
86,52,86,232,3,ar,0.03539068386192715
87,52,87,321,0,al,0.01713052385045914
88,52,88,232,3,ar,0.03509036161717373
89,52,89,321,0,al,0.017172264752431905
90,52,90,232,3,ar,0.03479156033526715
91,52,91,321,0,al,0.017218067822365422
92,52,92,232,3,ar,0.03449429832572493
93,52,93,321,0,al,0.017267975892137983
94,52,94,232,3,ar,0.03419859412375262
95,52,95,321,0,al,0.017322032240406186
96,52,96,232,3,ar,0.03390446649254228
97,52,97,321,0,al,0.017380280597116483
98,52,98,232,3,ar,0.033611934425597546
99,52,99,321,0,al,0.017442765148066017
