,epoch,iteration,state,direction,action,loss
0,14,0,024,0,al,0.1404637693740646
1,14,1,202,3,al,0.0482137180750396
2,14,2,420,2,al,0.02614538441705859
3,14,3,242,1,ar,0.09932385356795502
4,14,4,420,2,al,0.02621823227080061
5,14,5,242,1,al,0.020507322145952196
6,14,6,024,0,al,0.1340182521124255
7,14,7,202,3,al,0.045648682861814026
8,14,8,420,2,al,0.026402220158062168
9,14,9,242,1,ar,0.09494580832535549
10,14,10,420,2,al,0.026531225066094958
11,14,11,242,1,ar,0.09354369252829486
12,14,12,420,2,al,0.026680710923911572
13,14,13,242,1,al,0.017928708163759483
14,14,14,024,0,al,0.12608378204789725
15,14,15,202,3,al,0.042569645699197446
16,14,16,420,2,al,0.026991489700004288
17,14,17,242,1,ar,0.08943608449540137
18,14,18,420,2,al,0.027198173103964832
19,14,19,242,1,ar,0.08808639774734235
20,14,20,420,2,al,0.027426403554799587
21,14,21,242,1,ar,0.08674859087173305
22,14,22,420,2,al,0.02762525298481855
23,14,23,242,1,al,0.015079099997134198
24,14,24,024,0,al,0.11687225329223855
25,14,25,202,3,al,0.03914838912042143
26,14,26,420,2,al,0.027977948333291477
27,14,27,242,1,ar,0.0829697666226467
28,14,28,420,2,al,0.02819900312679223
29,14,29,242,1,ar,0.08169629930975522
30,14,30,420,2,al,0.028432507844740922
31,14,31,242,1,ar,0.08043855744938433
32,14,32,420,2,al,0.028678549546128685
33,14,33,242,1,ar,0.07919644662531969
34,14,34,420,2,ar,0.028937217658020615
35,14,35,242,3,ar,0.07796987476526493
36,14,36,420,0,al,0.02920860399915798
37,14,37,242,3,ar,0.07675875212919199
38,14,38,420,0,al,0.029492802804162253
39,14,39,242,3,ar,0.07556299129825025
40,14,40,420,0,al,0.02978991074834909
41,14,41,242,3,ar,0.07438250716423388
42,14,42,420,0,al,0.03010002697315997
43,14,43,242,3,ar,0.0732172169196009
44,14,44,420,0,al,0.03042325311221925
45,14,45,242,3,ar,0.07206704004804297
46,14,46,420,0,al,0.030759693318024903
47,14,47,242,3,ar,0.07093189831560202
48,14,48,420,0,al,0.031109454289282062
49,14,49,242,3,ar,0.06981171576232963
50,14,50,420,0,al,0.03125
51,14,51,242,3,ar,0.06871346940236847
52,14,52,420,0,al,0.03125
53,14,53,242,3,ar,0.06764124338421809
54,14,54,420,0,al,0.03125
55,14,55,242,3,ar,0.06659443732115133
56,14,56,420,0,al,0.03125
57,14,57,242,3,ar,0.06557246470104305
58,14,58,420,0,al,0.03125
59,14,59,242,3,ar,0.06457475255584597
60,14,60,420,0,al,0.03125
61,14,61,242,3,ar,0.06360074113949944
62,14,62,420,0,al,0.03125
63,14,63,242,3,ar,0.06264988361402811
64,14,64,420,0,al,0.03125
65,14,65,242,3,ar,0.06172164574359975
66,14,66,420,0,al,0.03125
67,14,67,242,3,ar,0.06081550559631745
68,14,68,420,0,al,0.03125
69,14,69,242,3,ar,0.05993095325352752
70,14,70,420,0,al,0.03125
71,14,71,242,3,ar,0.05906749052643407
72,14,72,420,0,al,0.03125
73,14,73,242,3,ar,0.05822463067981535
74,14,74,420,0,al,0.03125
75,14,75,242,3,ar,0.05740189816264452
76,14,76,420,0,al,0.03125
77,14,77,242,3,af,0.027461495630366383
78,14,78,232,3,ar,0.030784366622454772
79,14,79,321,0,al,0.018214635215029324
80,14,80,232,3,ar,0.03051559209802462
81,14,81,321,0,al,0.018321186289032884
82,14,82,232,3,ar,0.030248574386480483
83,14,83,321,0,al,0.018432387076114297
84,14,84,232,3,al,0.00828242017445578
85,14,85,123,2,al,0.03087284759846597
86,14,86,212,1,al,0.018133523910338376
87,14,87,321,0,al,0.018625188676890312
88,14,88,232,3,ar,0.029533330844560557
89,14,89,321,0,al,0.018748819039910627
90,14,90,232,3,ar,0.02927330000174651
91,14,91,321,0,al,0.01887727351985385
92,14,92,232,3,ar,0.029015124086753302
93,14,93,321,0,al,0.01901060296511186
94,14,94,232,3,al,0.007850344829406693
95,14,95,123,2,al,0.02896321704200629
96,14,96,212,1,al,0.017674392410021982
97,14,97,321,0,al,0.019225007224570694
98,14,98,232,3,ar,0.028353915259084494
99,14,99,321,0,al,0.01937084526669711
