state,al,af,ar,epoch
004,0.171435241722618,9.887963626880797e-05,9.887963626880797e-05,0
014,0.06902350633767322,0.11174300224258563,0.06987436996916234,0
024,0.05845370832638501,0.1310985502112026,0.061418636263495904,0
034,0.07087759544330322,0.15586439576076352,0.0788428212721422,0
044,0.10031140834407831,0.17177208194332,0.11226057203435043,0
103,0.14452035847751574,6.691593755467878e-05,0.13310148641028818,0
113,1.7645272105255219,1.5851489156942389,0.014966180908298748,0
123,1.3221326072357238,1.816855682507684,1.484175324847203,0
133,1.606152309665021,2.3553154494230037,1.8710440130792054,0
143,0.1463894426467821,0.20886140596657082,0.18625523446481337,0
202,0.041822705643296,6.359333887750301e-06,0.038179872171051774,0
212,0.18904652712344358,0.1071781802691621,0.19520816172351957,0
222,7.739282383173604e-07,0.016746866924903965,2.44784100256944e-06,0
232,0.36991344593469494,0.3187900938682,0.37322232579817105,0
242,0.2763824041204509,0.37970521458734946,0.4785625659177466,0
301,0.10077163923275258,2.52752143333518e-05,0.09988451980506145,0
311,3.032893213729967,1.6089600736867034,3.103820215064302,0
321,0.4357079108799171,0.28731751743674067,0.4370014392579314,0
331,0.16497272113331068,0.1257422045449578,7.978796078148845e-05,0
341,0.7846449819413965,0.6356981414614509,0.8376812092556698,0
400,0.254172706025489,0.00011389382701607716,0.25515867804344156,0
410,0.2544378016557582,0.16032635931093484,0.2589353530633326,0
420,0.46573211982007007,0.41381013857655535,0.567748950941016,0
430,0.8433255162520455,0.6900917942615167,0.8961145972172038,0
440,0.03200222239976706,0.025046442182855743,3.2002222399767062e-06,0
