state,al,af,ar,epoch
004,0.027189794797254016,6.792746867656802e-06,6.792746867656802e-06,40
014,0.018419921534179432,0.00029293085931407004,0.0002991679675258486,40
024,0.08058939963904584,0.007037502681864886,0.008323198316236062,40
034,0.004913902221078559,0.0015411537844992025,0.0023490987785276638,40
044,0.0015958242315032597,0.0019059729597410934,0.003030629278722755,40
103,0.02015163407556756,5.047753025723795e-06,0.00075776474994828,40
113,0.4595270053221008,0.01352148135945366,0.003539760502887842,40
123,0.06313946665996169,0.008693842453500874,0.011440707855049236,40
133,0.1372623814422345,0.07297100934753743,0.10136589242524553,40
143,0.003314080015985158,0.006925928672599554,0.01048833282322588,40
202,0.1172916873029673,0.00018053268018886163,0.02782801613959799,40
212,0.1450999379699311,0.014896046798657706,0.035675763268129906,40
222,1.127680299517455e-05,0.008768575967487171,1.2142383788928092e-05,40
232,0.37318666275873263,0.26156608089382605,0.42726716623902855,40
242,0.24149293676785277,0.5027171060608224,0.8384183932488735,40
301,0.046688385310013986,3.0259898177250612e-05,0.018441014152768553,40
311,0.3982194701609346,0.10795876834749374,0.17843702421555108,40
321,0.821105090120813,0.35371715020457034,0.47622309259907947,40
331,0.17437974819853622,0.1477116072244766,0.0014773394458775198,40
341,0.034888445356887024,0.05214569585380233,0.07627804673976551,40
400,0.030425288725508808,1.2154241113572544e-05,0.013958977561388787,40
410,0.11326564721114775,0.06327903141433582,0.06209584087864038,40
420,1.230003043822012,0.9020766360741024,0.8834084383471696,40
430,0.09745222181711476,0.11404706961255166,0.10077712311927373,40
440,0.012502015346092531,0.020153116932569118,1.1071167436803554e-05,40
