state,al,af,ar,epoch
004,0.027189794797254016,6.792746867656802e-06,6.792746867656802e-06,48
014,0.0230488105437259,0.00036128205191882253,0.0003784107188969084,48
024,0.0914659488949376,0.008022062081723028,0.009461858183836215,48
034,0.0065766860698052805,0.0020489938982993683,0.0031531591369831757,48
044,0.0015958242315032597,0.0019059729597410934,0.003030629278722755,48
103,0.03007333750108055,1.0540366576232365e-05,0.0012207542988446306,48
113,0.5291036517547603,0.015642068492485155,0.004721929045118537,48
123,0.07014982285236136,0.009729671595737335,0.012706949459195847,48
133,0.15946801329152907,0.08503706931887019,0.11795332249201519,48
143,0.003314080015985158,0.006925928672599554,0.01048833282322588,48
202,0.13278841247521617,0.0002305468770544865,0.03162654974492117,48
212,0.16422291763818822,0.016888044281036928,0.040224589903542815,48
222,1.4932955800811099e-05,0.010093798234092016,1.592740266841949e-05,48
232,0.42732998927755567,0.2985858958226723,0.49389031619617424,48
242,0.2712507627878754,0.5656342241813316,0.9476439260064966,48
301,0.05445384449708255,4.069547680373263e-05,0.021517680002468634,48
311,0.4600725592723955,0.1245922771943095,0.2068305276312169,48
321,0.9429908827055776,0.4085082594231898,0.5460873503053578,48
331,0.19831666398515757,0.16830518064876268,0.001919205121301385,48
341,0.037837990489973015,0.05668365857536768,0.08282160987585808,48
400,0.034776462539207895,1.561973312637976e-05,0.01594532164675527,48
410,0.12461559694535505,0.0695593987373541,0.06832021036249648,48
420,1.378813015167069,1.0079313093695534,0.9918397429040114,48
430,0.1074745921345665,0.1260969830661847,0.11115372731254364,48
440,0.013747638449348603,0.022176073194893394,1.327770358885609e-05,48
