state,al,af,ar,epoch
004,0.013597647910454203,2.040260207276746e-06,2.040260207276746e-06,10
014,0.004577488572773811,7.765705645678984e-05,7.01716891277434e-05,10
024,0.01408665942484898,0.001211897758350613,0.001448606474130601,10
034,0.004913902221078559,0.0015411537844992025,0.0023490987785276638,10
044,0.0,0.0,0.0,10
103,0.015227745881787063,3.0356252434104497e-06,0.0005172158969890762,10
113,0.056553685678748813,0.0015654391201537822,5.369198353064584e-05,10
123,0.019704639528222986,0.002435757064991508,0.003476343317309955,10
133,0.01837476560887087,0.009590991923685243,0.013412963638924807,10
143,0.0007871033318487027,0.0017750830660255774,0.002555336667535208,10
202,0.01557188784512922,3.903329597094867e-06,0.003828401635119831,10
212,0.046366428088793724,0.004751445879483393,0.011333635268999135,10
222,1.4437201063170045e-06,0.003230918332476937,1.7653682194583813e-06,10
232,0.13484657665334165,0.0949172481382501,0.1487461280280488,10
242,0.09160006364132932,0.18840290238969942,0.3099992816010866,10
301,0.015489273633333838,3.87342601044731e-06,0.006222528134864606,10
311,0.05832072885609366,0.015860355409654293,0.025762127903100722,10
321,0.28795275356072236,0.12223252091800885,0.16617403020803193,10
331,0.02262017385403946,0.018477348662361826,2.4791179469705268e-05,10
341,0.01499138203316877,0.022211023768377185,0.03267083483923953,10
400,0.004366701657230694,4.3667016572306943e-07,0.002,10
410,0.04699121987922527,0.02627434777383235,0.02577967641447962,10
420,0.47232990562161875,0.35095567938821615,0.3374789585016288,10
430,0.03764346934136762,0.0429978605699517,0.03889746435965927,10
440,0.003757156623053392,0.006080735079685753,1.2149485648772784e-06,10
