state,al,af,ar,epoch
004,0.04075997761970649,1.4249553001476527e-05,1.4249553001476527e-05,75
014,0.0230488105437259,0.00036128205191882253,0.0003784107188969084,75
024,0.15455304844909123,0.013226441825934694,0.016321379659439934,75
034,0.011373723044778825,0.003675328339497259,0.00543800646025322,75
044,0.0015958242315032597,0.0019059729597410934,0.003030629278722755,75
103,0.0647097049138739,4.528282233099651e-05,0.002783996088897174,75
113,0.829509630218732,0.024596110983641516,0.011896882464842044,75
123,0.09598449068286243,0.01390231291199607,0.01752906402676439,75
133,0.253279953464299,0.1321287314485513,0.18767256794771817,75
143,0.004539349410162427,0.0095692548773329,0.014402674288907407,75
202,0.2338573695506927,0.0007012349542344691,0.05429722847120827,75
212,0.2419401434032064,0.025119919012602583,0.05883321419830376,75
222,3.924329269906087e-05,0.016356418980064416,4.083969130436825e-05,75
232,0.5400510013378532,0.37709054455485463,0.6402397324604926,75
242,0.340018223569759,0.7163961531310882,1.208467813298919,75
301,0.07376583003268418,7.341618918570622e-05,0.029104601287143678,75
311,0.715090965882922,0.19388084967317631,0.3207608485537832,75
321,1.202473313729576,0.5281379142111619,0.7002325062135598,75
331,0.31216040183470356,0.2706355953816714,0.00491653345643071,75
341,0.05716371552307976,0.0860889018958865,0.12541018284731545,75
400,0.04774159127844911,2.858748782994475e-05,0.021892443781732517,75
410,0.19488416844895062,0.10889596024693365,0.10671951499591219,75
420,1.7296197450639486,1.2505716114218692,1.2508316932246903,75
430,0.15764542484002564,0.1880804750226962,0.16324918754773526,75
440,0.0212271654929177,0.03423885224448671,3.0685512531721045e-05,75
